system_id,image_id,file,first_author,year,source_journal,publisher,open_access,arxiv,bibcode,license_class,restrictive_venue,permission_status
ab-aur,ab-aur_nicmos-go11155-1um,images/ab-aur/ab-aur_nicmos-go11155-1um.png,Perrin,2009,"ApJL 707, L132",AAS/IOP,green-oa,0911.1130,2009ApJ...707L.132P,arxiv-preprint-figure,,not-needed
ab-aur,ab-aur_nicmos-go11155-pol2um,images/ab-aur/ab-aur_nicmos-go11155-pol2um.png,Perrin,2009,"ApJL 707, L132",AAS/IOP,green-oa,0911.1130,2009ApJ...707L.132P,arxiv-preprint-figure,,not-needed
ab-aur,ab-aur_ciao2004,images/ab-aur/ab-aur_ciao2004.png,Fukagawa,2004,"ApJL 605, L53",AAS/IOP,green-oa,,2004ApJ...605L..53F,publisher-pdf,,not-needed
ac-her,ac-her_sphere_irdis,images/ac-her/ac-her_sphere_irdis.png,Andrych,2023,MNRAS,OUP,hybrid,2307.16598,2023MNRAS.524.4168A,arxiv-preprint-figure,,not-needed
af-lep,af-lep_sphere2023,images/af-lep/af-lep_sphere2023.png,Franson,2023,"ApJL 950, L19",AAS/IOP,green-oa,2302.05420,2023ApJ...950L..19F,arxiv-preprint-figure,,not-needed
af-lep,af-lep_sphere2023-mesa,images/af-lep/af-lep_sphere2023-mesa.png,Mesa,2023,"A&A 672, A93",EDP Sciences,hybrid,2302.06213,2023A&A...672A..93M,arxiv-preprint-figure,,not-needed
af-lep,af-lep_sphere2023-derosa,images/af-lep/af-lep_sphere2023-derosa.png,De Rosa,2023,"A&A 672, A94",EDP Sciences,hybrid,2302.06332,2023A&A...672A..94D,arxiv-preprint-figure,,not-needed
af-lep,af-lep_gravity2024,images/af-lep/af-lep_gravity2024.png,Balmer,2025,AJ (2025),AAS/IOP,green-oa,2411.05917,2025AJ....169...30B,arxiv-preprint-figure,,not-needed
af-lep,af-lep_jwst2024,images/af-lep/af-lep_jwst2024.png,Franson,2024,"ApJL 974, L11",AAS/IOP,green-oa,2406.09528,2024ApJ...974L..11F,arxiv-preprint-figure,,not-needed
af-lep,af-lep_naco2011-4s,images/af-lep/af-lep_naco2011-4s.png,Bonse,2025,AJ (2025),AAS/IOP,green-oa,2406.01809,2025AJ....169..194B,arxiv-preprint-figure,,not-needed
af-lep,af-lep_alice-f160w,images/af-lep/af-lep_alice-f160w.png,Hagan,2018,"AJ 155, 179",AAS/IOP,green-oa,1802.07754,2018AJ....155..179H,archive-product,,not-needed
afgl-4176,afgl-4176_alma2020,images/afgl-4176/afgl-4176_alma2020.png,Johnston,2020,"A&A 634, L11",EDP Sciences,hybrid,1911.09692,2020A&A...634L..11J,arxiv-preprint-figure,,not-needed
ai-sco,ai-sco_vlti_pionier,images/ai-sco/ai-sco_vlti_pionier.png,De Prins,2026,A&A,EDP Sciences,hybrid,2605.13445,2026arXiv260513445D,arxiv-preprint-figure,,not-needed
ak-sco,ak-sco_gpies,images/ak-sco/ak-sco_gpies.png,Esposito,2020,"AJ 160, 24",AAS/IOP,green-oa,2004.13722,2020AJ....160...24E,arxiv-preprint-figure,,not-needed
ak-sco,ak-sco_gemini-lights,images/ak-sco/ak-sco_gemini-lights.png,Rich,2022,"AJ 164, 109",AAS/IOP,green-oa,2206.05815,2022AJ....164..109R,arxiv-preprint-figure,,not-needed
ak-sco,ak-sco_naco-pippin,images/ak-sco/ak-sco_naco-pippin.png,de Regt,2024,"A&A 684, A73",EDP Sciences,hybrid,2404.02222,2024A&A...684A..73D,arxiv-preprint-figure,,not-needed
ak-sco,ak-sco_alma2015,images/ak-sco/ak-sco_alma2015.png,Czekala,2015,ApJ,AAS/IOP,green-oa,1505.01850,2015ApJ...806..154C,arxiv-preprint-figure,,not-needed
ak-sco,ak-sco_sphere2015,images/ak-sco/ak-sco_sphere2015.png,Janson,2015,ApJL,AAS/IOP,green-oa,1512.04552,2016ApJ...816L...1J,arxiv-preprint-figure,,not-needed
ak-sco,ak-sco_sphere-rdi-xie22,images/ak-sco/ak-sco_sphere-rdi-xie22.png,Xie,2022,"A&A 666, A32",EDP Sciences,hybrid,2208.07915,2022A&A...666A..32X,arxiv-preprint-figure,,not-needed
alpha-cen-a,alpha-cen-a_near2021,images/alpha-cen-a/alpha-cen-a_near2021.png,Wagner,2021,"Nature Communications 12, 922",Springer Nature,restrictive,2102.05159,2021NatCo..12..922W,arxiv-preprint-figure,Y,not-needed
alpha-cen-a,alpha-cen-a_miri2025,images/alpha-cen-a/alpha-cen-a_miri2025.png,Beichman,2025,ApJL,AAS/IOP,green-oa,2508.03814,2025ApJ...989L..22B,arxiv-preprint-figure,,not-needed
